"Date","Instagram Profile","Followers","Net Follower Growth","Followers Gained","Followers Lost","Following","Net Following Growth","Published Posts & Stories","Impressions","Reach","Engagements","Likes","Comments","Saves","Story Replies","Profile Actions","Engagement Rate (per Impression)"
"07-24-2021","ucberkeleysummer","1,461","0","0","0","113","0","0","27","3","0","0","0","0","0","0","0%"
"07-24-2021","ucbstudyabroad","2,249","0","0","0","221","-1","0","189","156","11","11","0","0","0","0","5.82%"
"07-25-2021","ucberkeleysummer","1,460","-1","1","2","112","-1","0","0","0","0","0","0","0","0","0",""
"07-25-2021","ucbstudyabroad","2,249","0","1","1","220","-1","0","78","36","4","4","0","0","0","1","5.13%"
"07-26-2021","ucberkeleysummer","1,458","-2","1","3","112","0","1","170","138","4","4","0","0","0","0","2.35%"
"07-26-2021","ucbstudyabroad","2,249","0","0","0","223","3","0","14","10","3","2","1","0","0","0","21.43%"
"07-27-2021","ucberkeleysummer","1,459","1","2","1","112","0","0","42","30","2","2","0","0","0","0","4.76%"
"07-27-2021","ucbstudyabroad","2,251","2","2","0","223","0","0","61","13","0","0","0","0","0","0","0%"
"07-28-2021","ucberkeleysummer","1,459","0","2","2","112","0","0","16","11","2","2","0","0","0","0","12.5%"
"07-28-2021","ucbstudyabroad","2,253","2","4","2","223","0","0","150","14","3","3","0","0","0","0","2%"
"07-29-2021","ucberkeleysummer","1,462","3","3","0","112","0","1","169","154","11","11","0","0","0","0","6.51%"
"07-29-2021","ucbstudyabroad","2,253","0","1","1","223","0","0","30","9","0","0","0","0","0","3","0%"
"07-30-2021","ucberkeleysummer","1,462","0","0","0","112","0","1","175","131","6","3","0","3","0","0","3.43%"
"07-30-2021","ucbstudyabroad","2,254","1","3","2","223","0","0","124","11","0","0","0","0","0","0","0%"
"07-31-2021","ucberkeleysummer","1,464","2","2","0","112","0","0","60","49","4","4","0","0","0","0","6.67%"
"07-31-2021","ucbstudyabroad","2,259","5","6","1","223","0","0","64","6","0","0","0","0","0","1","0%"
"08-01-2021","ucberkeleysummer","1,464","0","0","0","112","0","0","37","19","2","2","0","0","0","0","5.41%"
"08-01-2021","ucbstudyabroad","2,261","2","2","0","223","0","0","34","4","0","0","0","0","0","0","0%"
"08-02-2021","ucberkeleysummer","1,464","0","1","1","112","0","0","81","3","1","0","0","1","0","0","1.23%"
"08-02-2021","ucbstudyabroad","2,262","1","2","1","223","0","0","56","7","0","0","0","0","0","0","0%"
"08-03-2021","ucberkeleysummer","1,463","-1","2","3","112","0","0","1","1","0","0","0","0","0","0","0%"
"08-03-2021","ucbstudyabroad","2,262","0","0","0","223","0","0","9","3","0","0","0","0","0","0","0%"
"08-04-2021","ucberkeleysummer","1,465","2","2","0","112","0","0","19","2","0","0","0","0","0","0","0%"
"08-04-2021","ucbstudyabroad","2,263","1","3","2","223","0","0","25","5","0","0","0","0","0","0","0%"
"08-05-2021","ucberkeleysummer","1,466","1","1","0","112","0","0","5","2","0","0","0","0","0","0","0%"
"08-05-2021","ucbstudyabroad","2,264","1","1","0","223","0","0","22","3","0","0","0","0","0","0","0%"
"08-06-2021","ucberkeleysummer","1,466","0","0","0","112","0","0","6","1","0","0","0","0","0","0","0%"
"08-06-2021","ucbstudyabroad","2,265","1","1","0","223","0","0","37","5","0","0","0","0","0","0","0%"
"08-07-2021","ucberkeleysummer","1,466","0","0","0","112","0","0","0","0","0","0","0","0","0","0",""
"08-07-2021","ucbstudyabroad","2,265","0","0","0","223","0","0","17","4","0","0","0","0","0","0","0%"
"08-08-2021","ucberkeleysummer","1,463","-3","0","3","112","0","0","1","1","0","0","0","0","0","0","0%"
"08-08-2021","ucbstudyabroad","2,265","0","1","1","221","-2","0","4","3","0","0","0","0","0","0","0%"
"08-09-2021","ucberkeleysummer","1,461","-2","0","2","112","0","0","0","0","0","0","0","0","0","0",""
"08-09-2021","ucbstudyabroad","2,263","-2","2","4","221","0","0","8","1","0","0","0","0","0","0","0%"
"08-10-2021","ucberkeleysummer","1,461","0","0","0","112","0","0","1","1","0","0","0","0","0","0","0%"
"08-10-2021","ucbstudyabroad","2,263","0","1","1","222","1","0","117","9","0","0","0","0","0","0","0%"
"08-11-2021","ucberkeleysummer","1,461","0","0","0","112","0","0","3","3","0","0","0","0","0","0","0%"
"08-11-2021","ucbstudyabroad","2,265","2","3","1","222","0","0","104","8","0","0","0","0","0","1","0%"
"08-12-2021","ucberkeleysummer","1,461","0","2","2","112","0","0","34","2","0","0","0","0","0","1","0%"
"08-12-2021","ucbstudyabroad","2,271","6","6","0","222","0","0","146","8","0","0","0","0","0","5","0%"
"08-13-2021","ucberkeleysummer","1,460","-1","1","2","111","-1","1","369","329","11","11","0","0","0","0","2.98%"
"08-13-2021","ucbstudyabroad","2,272","1","1","0","222","0","0","27","3","0","0","0","0","0","1","0%"
"08-14-2021","ucberkeleysummer","1,458","-2","2","4","111","0","0","156","137","30","27","0","3","0","0","19.23%"
"08-14-2021","ucbstudyabroad","2,274","2","2","0","222","0","0","9","4","0","0","0","0","0","0","0%"
"08-15-2021","ucberkeleysummer","1,461","3","6","3","111","0","0","65","27","2","2","0","0","0","0","3.08%"
"08-15-2021","ucbstudyabroad","2,274","0","0","0","222","0","0","27","3","0","0","0","0","0","0","0%"
"08-16-2021","ucberkeleysummer","1,462","1","1","0","111","0","0","8","6","11","11","0","0","0","0","137.5%"
"08-16-2021","ucbstudyabroad","2,276","2","2","0","222","0","0","29","3","0","0","0","0","0","0","0%"
